P_value,logOR,OR,gene
1.0,-0.051653337,0.9496580210853581,ENSG00000177156
0.000995113,-0.052915477,0.9484601757938673,ENSG00000072682
2.56836e-05,-0.085505607,0.9180479955446168,ENSG00000103266
1.0,-0.019139576,0.9810424227091001,ENSG00000187736
1.0,0.016861534,1.0170044920313683,ENSG00000155657
0.000181895,-0.07150026,0.9309960355358611,ENSG00000175387
1.07319e-17,-0.120921216,0.8861037676421907,ENSG00000182621
1.0,-0.051702503,0.9496113313468767,ENSG00000163577
1.0,0.02022187,1.0204277172102918,ENSG00000100056
1.0,-0.049633893,0.9515777400081119,ENSG00000106070
8.65974e-12,-0.067152025,0.9350530390926747,ENSG00000167325
1.0,0.007994434,1.0080264748133,ENSG00000025708
1.0,0.004999222,1.005011738959964,ENSG00000171885
1.0,-0.008358912,0.9916759265664953,ENSG00000171109
3.69225e-07,0.07410862,1.07692377460391,ENSG00000149256
1.0,-0.053349011,0.9480490751795004,ENSG00000004455
1.0,-0.043882373,0.9570665277167226,ENSG00000197894
1.0,0.011949491,1.0120211713977965,ENSG00000148384
1.0,-0.000483163,0.9995169537044458,ENSG00000165370
1.0,0.05088651,1.0522034719347377,ENSG00000154957
0.078819817,0.051077286,1.0524042262532436,ENSG00000183770
1.0,-0.035206425,0.9654061117309417,ENSG00000196344
0.000468431,-0.083239053,0.9201311608125813,ENSG00000165025
2.2974e-09,-0.075821289,0.926981853611507,ENSG00000112183
1.0,0.001213609,1.0012143457214029,ENSG00000147224
3.1552200000000004e-23,-0.127880887,0.8799581873620805,ENSG00000106605
1.0,-0.035363114,0.9652548550631382,ENSG00000135480
1.0,0.021050675,1.021273803376244,ENSG00000213676
0.000395384,0.070736173,1.0732980235141365,ENSG00000101443
1.0,0.050173614,1.0514536276006796,ENSG00000178538
1.0,0.026714265,1.0270742897598328,ENSG00000110921
5.67389e-12,-0.107603592,0.8979834937262878,ENSG00000120899
1.0,-0.028197415,0.9721964216988594,ENSG00000122735
0.00225477,0.064007845,1.0661007622891794,ENSG00000118518
1.0,0.004285282,1.0042944769505366,ENSG00000055609
0.027781549,-0.059925788,0.941834426407226,ENSG00000187796
1.0,0.014160377,1.0142611100494414,ENSG00000151498
1.0,0.020846602,1.021065410231798,ENSG00000187838
0.004147254,0.059993242,1.0618293706782254,ENSG00000112234
