Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IDO1,"Indoleamine 2,3-dioxygenase 1",42091,120,1.34 [1.05-1.72],0.0189008136914281
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IDS,Iduronate 2-sulfatase,50281,150,0.48 [0.18-1.25],0.1312416001538984
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IDUA,Alpha-L-iduronidase,50162,151,4.84 [3.43-6.84],3.4102248774844024e-19
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,42015,124,3.98 [3.06-5.17],5.557297566034862e-25
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1,42463,126,1.35 [1.01-1.81],0.0460294902792411
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,42463,126,1.24 [0.84-1.84],0.2781299972984954
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFNAR1,Interferon alpha/beta receptor 1,43071,128,1.38 [0.75-2.57],0.3024872322503942
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFNG,Interferon gamma,48809,141,1.29 [1.14-1.47],5.928566159658588e-05
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFNGR1,Interferon gamma receptor 1,49948,152,2.67 [1.74-4.09],6.476301299181283e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFNGR2,Interferon gamma receptor 2,49354,143,2.43 [1.90-3.09],7.352143739648679e-13
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFNL1,Interferon lambda-1,48597,148,1.49 [1.14-1.93],0.0032761570383526
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFNL2,Interferon lambda-2,41859,122,1.32 [1.08-1.62],0.0059628302122968
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFNLR1,Interferon lambda receptor 1,49667,147,1.92 [1.47-2.50],1.5971272169286983e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFNW1,Interferon omega-1,41817,121,0.95 [0.58-1.57],0.8478261049594559
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IFT20,Intraflagellar transport protein 20 homolog,42069,125,1.12 [0.76-1.66],0.565111205580793
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGBP1,Immunoglobulin-binding protein 1,43180,130,0.93 [0.71-1.23],0.628194536882106
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGDCC3,Immunoglobulin superfamily DCC subclass member 3,41859,122,1.26 [0.97-1.62],0.0830438721418473
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGDCC4,Immunoglobulin superfamily DCC subclass member 4,43246,129,0.39 [0.26-0.59],1.0735962777521308e-05
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGF1R,Insulin-like growth factor 1 receptor,49510,148,2.53 [1.80-3.56],8.609323144492329e-08
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,41817,121,1.15 [0.79-1.66],0.4649269139297097
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGF2R,Cation-independent mannose-6-phosphate receptor,49760,150,16.35 [10.65-25.08],1.7326130131727961e-37
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFBP1,Insulin-like growth factor-binding protein 1,50268,150,1.43 [1.27-1.60],2.518838628523796e-09
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFBP2,Insulin-like growth factor-binding protein 2,50271,150,1.36 [1.08-1.70],0.0082236367489969
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFBP3,Insulin-like growth factor-binding protein 3,49930,149,0.37 [0.29-0.49],3.177988234248235e-13
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFBP4,Insulin-like growth factor-binding protein 4,49129,147,2.22 [1.76-2.81],3.1163059404216606e-11
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFBP6,Insulin-like growth factor-binding protein 6,49517,149,0.41 [0.25-0.69],0.0007474444686738
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFBP7,Insulin-like growth factor-binding protein 7,50349,150,3.89 [3.40-4.46],2.856377426909392e-85
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFBPL1,Insulin-like growth factor-binding protein-like 1,49731,150,9.96 [7.79-12.72],2.1721877351516886e-75
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFL4,Insulin growth factor-like family member 4,41993,123,1.08 [0.88-1.32],0.4575242711051113
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGHMBP2,DNA-binding protein SMUBP-2,41817,121,1.10 [0.81-1.48],0.552242320780333
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGLC2,Immunoglobulin lambda constant 2,43237,131,2.03 [1.52-2.70],1.263138428685466e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGLON5,IgLON family member 5,41724,127,1.10 [0.94-1.29],0.2159504527814616
