Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AKR1C4,Aldo-keto reductase family 1 member C4,50517,724,1.36 [1.25-1.49],1.3584767310800676e-11
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AKR7L,Aflatoxin B1 aldehyde reductase member 4,43445,603,1.58 [1.46-1.71],1.1153719951624793e-29
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AKT1S1,Proline-rich AKT1 substrate 1,50258,704,1.14 [1.03-1.26],0.0094629195314481
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AKT2,RAC-beta serine/threonine-protein kinase,44664,625,1.04 [0.98-1.10],0.2070408158229442
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AKT3,RAC-gamma serine/threonine-protein kinase,50010,719,1.07 [0.96-1.20],0.2285886214211526
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ALCAM,CD166 antigen,52096,750,3.26 [2.42-4.40],1.0370814889230211e-14
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ALDH1A1,Retinal dehydrogenase 1,51475,728,1.87 [1.70-2.05],1.94797343248878e-39
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ALDH2,"Aldehyde dehydrogenase, mitochondrial",44533,623,1.27 [1.14-1.41],2.140215561594349e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",51303,738,1.40 [1.31-1.50],4.9461509150207085e-24
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",44664,625,1.62 [1.41-1.85],1.624161492202741e-12
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ALMS1,Alstrom syndrome protein 1,43926,615,1.18 [1.01-1.38],0.0339690138176139
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ALPI,Intestinal-type alkaline phosphatase,43445,603,1.02 [0.95-1.08],0.6010054980732025
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ALPP,"Alkaline phosphatase, placental type",51227,734,1.10 [1.03-1.16],0.0029056507915244
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMBN,Ameloblastin,50494,726,0.99 [0.78-1.25],0.903241444032573
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMBP,Protein AMBP,51827,742,1.98 [1.44-2.71],2.479577773011946e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,44744,629,1.24 [0.93-1.67],0.1493684114421937
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMFR,E3 ubiquitin-protein ligase AMFR,50258,704,1.06 [0.96-1.18],0.238818525880657
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMIGO1,Amphoterin-induced protein 1,43516,610,0.88 [0.74-1.04],0.1343988956379467
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMIGO2,Amphoterin-induced protein 2,51227,734,1.97 [1.50-2.60],1.340291348537665e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMN,Protein amnionless,50494,726,1.27 [1.12-1.45],0.0002765155570346
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMOT,Angiomotin,43761,617,1.87 [1.57-2.22],1.7523625422574809e-12
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMOTL2,Angiomotin-like protein 2,44363,621,1.06 [0.90-1.24],0.4793558514990467
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMPD3,AMP deaminase 3,44635,623,0.98 [0.88-1.09],0.7179230356098683
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMY1A_AMY1B_AMY1C,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,41954,592,0.87 [0.74-1.03],0.0980944054565001
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMY2A,Pancreatic alpha-amylase,49483,713,0.91 [0.79-1.04],0.1811864576095103
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AMY2B,Alpha-amylase 2B,47968,691,0.93 [0.81-1.07],0.3025933388949867
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANG,Angiogenin,51330,745,1.34 [1.12-1.61],0.0014274470823938
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANGPT1,Angiopoietin-1,51273,740,1.05 [0.97-1.13],0.2466559830416182
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANGPT2,Angiopoietin-2,51901,745,1.60 [1.36-1.89],1.506191441763532e-08
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANGPTL1,Angiopoietin-related protein 1,50710,732,1.86 [1.49-2.31],3.707975173620175e-08
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANGPTL2,Angiopoietin-related protein 2,51516,741,2.27 [1.95-2.64],1.9590314962479653e-26
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANGPTL3,Angiopoietin-related protein 3,51499,746,0.97 [0.81-1.16],0.7571333631376895
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANGPTL4,Angiopoietin-related protein 4,51600,744,1.47 [1.28-1.70],1.2360346304319906e-07
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANGPTL7,Angiopoietin-related protein 7,51901,745,2.02 [1.74-2.33],3.4673789410809755e-21
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANK2,Ankyrin-2,43272,611,1.18 [1.08-1.30],0.0004389393244493
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,43445,603,1.08 [0.98-1.19],0.1264942227108458
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANKRA2,Ankyrin repeat family A protein 2,43142,599,0.96 [0.83-1.10],0.5479058276239427
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANKRD54,Ankyrin repeat domain-containing protein 54,50249,720,1.03 [0.93-1.16],0.5573013991976152
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANP32C,Acidic leucine-rich nuclear phosphoprotein 32 family member C,43550,617,0.86 [0.70-1.07],0.1736949897476009
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANPEP,Aminopeptidase N,51584,746,2.34 [1.92-2.84],1.1021167229086002e-17
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANXA1,Annexin A1,43513,614,1.09 [0.93-1.28],0.2901609472990234
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANXA10,Annexin A10,50258,704,1.15 [1.06-1.24],0.0004287676531807
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANXA11,Annexin A11,51306,738,1.13 [1.02-1.25],0.0173901021804223
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANXA2,Annexin A2,42894,609,1.11 [1.00-1.23],0.0487699312378927
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANXA3,Annexin A3,51831,741,1.09 [0.99-1.19],0.0753682794289401
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANXA4,Annexin A4,51218,737,1.08 [0.99-1.18],0.0800659730274961
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ANXA5,Annexin A5,50091,701,1.15 [0.92-1.43],0.2090041496024831
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AOC1,Amiloride-sensitive amine oxidase [copper-containing],50494,726,1.11 [1.00-1.23],0.0443525759353495
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AOC3,Membrane primary amine oxidase,51667,747,1.67 [1.35-2.06],1.975983774586787e-06
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AP1G2,AP-1 complex subunit gamma-like 2,44533,623,1.11 [1.01-1.22],0.0234138530082184
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AP2B1,AP-2 complex subunit beta,43516,610,1.06 [0.91-1.24],0.4646129599293785
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AP3B1,AP-3 complex subunit beta-1,44550,622,1.12 [1.01-1.23],0.0251869517771658
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AP3S2,AP-3 complex subunit sigma-2,44635,623,1.13 [0.97-1.32],0.1130735262197055
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,51227,734,1.23 [1.08-1.40],0.0014776733536288
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APCS,Serum amyloid P-component,44410,622,1.30 [1.03-1.64],0.026081940372939
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,51739,744,1.22 [1.10-1.36],0.0001947195073367
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APLP1,Amyloid-like protein 1,51461,742,0.85 [0.75-0.96],0.0109724559019895
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOA1,Apolipoprotein A-I,44808,628,0.73 [0.54-1.00],0.0464257194444041
